med_inc,house_age,ave_rooms,ave_bedrms,population,ave_occup,latitude,longitude,med_house_val,dist_to_coast,lat_per_lon,inc_per_occup,rooms_per_age,rooms_per_capita
2.0804,42.0,4.294117647058823,1.1176470588235294,1206.0,2.026890756302521,37.84,-122.26,2.267,54.20681776754326,-0.30950433502371993,1.0263996683250416,0.10224089635854341,0.0035616282313920594
1.3578,40.0,4.524096385542169,1.108433734939759,409.0,2.463855421686747,37.85,-122.27,1.475,53.907715454319344,-0.30956080804776315,0.5510875305623472,0.11310240963855422,0.011062360355848823
1.7135,42.0,4.478142076502732,1.0027322404371584,929.0,2.5382513661202184,37.85,-122.27,1.598,53.907715454319344,-0.30956080804776315,0.675071044133477,0.1066224303929222,0.004821389748657408
1.775,40.0,2.6875,1.0653409090909092,700.0,1.9886363636363635,37.82,-122.27,1.125,52.165700313244024,-0.3093154494152286,0.8925714285714286,0.0671875,0.0038402857142857145
1.5045,43.0,4.58968058968059,1.1203931203931203,1061.0,2.6068796068796067,37.82,-122.27,0.938,52.165700313244024,-0.3093154494152286,0.5771267672007541,0.1067367578995486,0.004326806399321951
2.4464,36.0,5.724950884086444,1.1041257367387034,1236.0,2.4282907662082516,37.81,-122.28,1.021,50.70325350999654,-0.30920837422309455,1.0074576051779935,0.15902641344684565,0.004632837284859583
1.5,17.0,3.1972318339100347,1.0,609.0,2.1072664359861593,37.81,-122.28,1.625,50.70325350999654,-0.30920837422309455,0.7118226600985221,0.18807246081823734,0.005250970170624031
2.0938,16.0,2.74585635359116,1.0828729281767955,800.0,2.2099447513812156,37.8,-122.27,1.625,50.99614090889043,-0.30915187699353885,0.9474444999999999,0.1716160220994475,0.0034333204419889503
2.6354,27.0,3.493377483443709,1.1490066225165563,718.0,2.377483443708609,37.79,-122.27,1.875,50.40889476936822,-0.30907009078269404,1.108483008356546,0.12938435123865588,0.0048664282499216
2.8345,31.0,3.8949152542372882,1.1279661016949152,2048.0,1.735593220338983,37.82,-122.26,1.838,53.04407013962015,-0.30934074922296745,1.6331591796875,0.12564242755604155,0.0019028140889830508
1.2185,22.0,2.9456,1.016,2024.0,1.6192,37.82,-122.26,1.7,53.04407013962015,-0.30934074922296745,0.7525321146245059,0.1338909090909091,0.0014563359683794467
2.6104,37.0,3.7071428571428573,1.1071428571428572,1838.0,1.8755102040816327,37.82,-122.26,1.931,53.04407013962015,-0.30934074922296745,1.391834602829162,0.10019305019305019,0.002017943883102752
2.4912,29.0,3.7248,1.1312,2304.0,1.8432,37.81,-122.25,2.578,53.33872025735599,-0.3092842535787321,1.3515625,0.12844137931034483,0.0016176666666666666
3.2177,28.0,3.8784235136940546,1.070808283233133,2563.0,1.7120908483633934,37.81,-122.25,2.734,53.33872025735599,-0.3092842535787321,1.8793979321108076,0.13851512548907338,0.0015142358617612386
3.125,39.0,3.745614035087719,1.0614035087719298,389.0,1.706140350877193,37.81,-122.25,2.375,53.33872025735599,-0.3092842535787321,1.831619537275064,0.09604138551506972,0.009629827853695936
3.9063,28.0,4.160847880299252,1.0660847880299251,1520.0,1.8952618453865338,37.82,-122.25,2.25,53.92243981411017,-0.30936605316973415,2.061087236842105,0.14860171001068756,0.002738399921249508
2.6429,32.0,3.7270058708414875,1.0743639921722115,1806.0,1.7671232876712328,37.82,-122.25,2.185,53.92243981411017,-0.30936605316973415,1.4955945736434109,0.11646893346379648,0.0020646798841868702
3.4722,35.0,3.822274881516588,1.014218009478673,675.0,1.599526066350711,37.83,-122.25,2.431,54.50451593718652,-0.30944785276073616,2.170768,0.1092078537576168,0.005663629454098649
2.4234,28.0,3.0234798314268514,1.053582179409994,2558.0,1.5400361228175798,37.83,-122.25,2.185,54.50451593718652,-0.30944785276073616,1.5735994526974197,0.10798142255095898,0.0011829702233881357
3.0812,38.0,4.628336755646817,1.0985626283367556,951.0,1.9527720739219712,37.8,-122.21,2.331,56.26778650749365,-0.3093036576384911,1.577859516298633,0.12179833567491624,0.004867810468608641
