company_names,cars_names,engines,horsepower,total_speed,performance,cars_prices,fuel_types,seats,torque,engine_cc
Ford,KA+,1.2L Petrol,77.5,165.0,10.5,13500.0,Petrol,5.0,120.0,1200.0
Toyota,GR SUPRA,I4,382.0,250.0,4.1,53900.0,Petrol,2.0,500.0,2998.0
Toyota,TOYOTA 86,BOXER-4,205.0,226.0,6.4,27000.0,Petrol,2.0,205.0,1998.0
Toyota,TOYOTA  GR86,BOXER-4,228.0,226.0,5.6,30000.0,Petrol,4.0,250.0,2387.0
Toyota,TOYOTA LAND CRUISER,V8,381.0,220.0,6.7,85000.0,Diesel,7.0,500.0,5663.0
Toyota,TOYOTA SEQUOIA,V8,381.0,200.0,6.9,50000.0,Petrol,7.0,651.0,5663.0
Nissan,370Z,V6,332.0,250.0,4.7,30000.0,Petrol,2.0,366.0,3696.0
Nissan,Z PROTO,V6,400.0,290.0,4.1,40000.0,Petrol,2.0,475.0,2998.0
Nissan,ALTIMA,I4,188.0,225.0,7.3,25000.0,Petrol,5.0,380.0,2488.0
Nissan,MAXIMA,V6,300.0,240.0,5.8,35000.0,Petrol,5.0,354.0,3498.0
Nissan,SENTRA,I4,149.0,200.0,8.2,20000.0,Petrol,5.0,240.0,1998.0
Nissan,ROGUE,I4,201.0,200.0,7.5,28000.0,Petrol,5.0,270.0,2488.0
Nissan,PATHFINDER,V6,284.0,225.0,6.5,35000.0,Petrol,7.0,351.0,3498.0
Nissan,FRONTIER,V6,310.0,180.0,6.8,30000.0,Petrol,5.0,381.0,3799.0
Nissan,TITAN,V8,400.0,200.0,5.9,40000.0,Petrol,5.0,560.0,5598.0
Aston Martin,DBX,V8,542.0,291.0,4.5,189000.0,Petrol,5.0,700.0,3996.0
Mercedes,BENZ S-CLASS S 580,V8,496.0,250.0,4.4,116000.0,Petrol,5.0,700.0,3982.0
Mercedes,BENZ CLA 45 AMG,I4,382.0,250.0,4.1,53000.0,Petrol,5.0,500.0,1991.0
Mercedes,BENZ S-CLASS S 500,V6,429.0,250.0,4.9,109000.0,Petrol,5.0,700.0,2996.0
Mercedes,BENZ E-CLASS E 450 ,V6,362.0,250.0,5.2,62000.0,Petrol,5.0,500.0,2996.0
Mercedes,BENZ CLS 450,V6,362.0,250.0,5.2,70000.0,Petrol,5.0,500.0,2996.0
Mercedes,BENZ GT 53,V6,429.0,250.0,4.5,99000.0,Petrol,5.0,700.0,2996.0
Mercedes,BENZ GLE 450,V6,362.0,250.0,5.5,63000.0,Petrol,5.0,500.0,2996.0
Mercedes,BENZ A-CLASS A 45 S,I4,416.0,250.0,3.9,53000.0,Petrol,5.0,500.0,1991.0
Mercedes,BENZ C-CLASS C 43,V6,402.0,250.0,4.7,52000.0,Petrol,5.0,520.0,2996.0
Mercedes,BENZ E-CLASS E 350,I4,255.0,250.0,5.7,49000.0,Petrol,5.0,500.0,1991.0
Mercedes,BENZ GLE 350 ,I4,255.0,250.0,6.1,53000.0,Petrol,5.0,500.0,1991.0
Mercedes,BENZ GLC 43,V6,402.0,250.0,4.7,54000.0,Petrol,5.0,520.0,2996.0
Mercedes,BENZ GLA 45,I4,382.0,250.0,4.3,48000.0,Petrol,5.0,500.0,1991.0
Mercedes,BENZ GLC 350 ,I4,255.0,250.0,6.1,46000.0,Petrol,5.0,500.0,1991.0
Mercedes,BENZ GLE 53,V6,429.0,250.0,5.2,71000.0,Petrol,5.0,620.0,2996.0
Mercedes,BENZ S-CLASS S 350,I4,255.0,250.0,6.5,90000.0,Petrol,5.0,500.0,1991.0
Bmw,M3 COMPETITION,I6,503.0,285.0,3.5,76000.0,Petrol,5.0,650.0,2993.0
Bmw,M2 CS,I6,444.0,280.0,4.0,83000.0,Petrol,4.0,550.0,2993.0
Bmw,X3 M COMPETITION,I6,503.0,285.0,4.1,69000.0,Petrol,5.0,650.0,2993.0
Audi,A8,V6,335.0,250.0,5.7,86000.0,Petrol,5.0,600.0,2995.0
Audi,S5 COUPE,V6,349.0,250.0,4.8,64000.0,Petrol,4.0,500.0,2995.0
Audi,SQ5,V6,349.0,250.0,5.4,62000.0,Petrol,5.0,500.0,2995.0
Audi,S4 SEDAN,V6,349.0,250.0,4.7,59000.0,Petrol,5.0,500.0,2995.0
Audi,S3 SEDAN,I4,306.0,250.0,4.8,52000.0,Petrol,5.0,400.0,1984.0
Audi,Q7,V6,335.0,250.0,6.3,60000.0,Petrol,7.0,600.0,2995.0
Audi,Q5,I4,248.0,240.0,6.3,43000.0,Petrol,5.0,500.0,1984.0
Audi,A7,V6,335.0,250.0,5.7,68000.0,Petrol,5.0,600.0,2995.0
Audi,A6,V6,335.0,250.0,5.7,58000.0,Petrol,5.0,600.0,2995.0
Audi,A5 COUPE,I4,248.0,240.0,6.3,45000.0,Petrol,4.0,500.0,1984.0
Audi,A4,I4,248.0,240.0,6.5,39000.0,Petrol,5.0,400.0,1984.0
Audi,Q3,I4,248.0,230.0,7.3,35000.0,Petrol,5.0,400.0,1984.0
Audi,TT COUPE,I4,248.0,250.0,5.3,49000.0,Petrol,2.0,400.0,1984.0
Bmw,330i,I4,255.0,250.0,5.6,45000.0,Petrol,5.0,400.0,1998.0
Bmw,M340i XDRIVE,I6,382.0,250.0,4.1,57000.0,Petrol,5.0,500.0,2998.0
Bmw,430i COUPE,I4,255.0,250.0,5.8,48000.0,Petrol,4.0,400.0,1998.0
Bmw,M4 COMPETITION,I6,503.0,290.0,3.8,81000.0,Petrol,4.0,650.0,2993.0
Bmw,530i,I4,248.0,250.0,5.9,57000.0,Petrol,5.0,400.0,1998.0
Bmw,M550i XDRIVE,V8,523.0,250.0,3.6,78000.0,Petrol,5.0,650.0,4395.0
Bmw,118i,I3,136.0,213.0,8.5,32000.0,Petrol,5.0,220.0,1499.0
Bmw,128ti,I4,261.0,250.0,6.1,42000.0,Petrol,5.0,400.0,1998.0
Bmw,M135i XDRIVE,I4,302.0,250.0,4.8,30000.0,Petrol,5.0,450.0,1998.0
Bmw,116D,I3,116.0,200.0,10.3,30000.0,Diesel,5.0,280.0,1496.0
Bmw,120D XDRIVE,I4,190.0,230.0,6.9,38000.0,Diesel,5.0,400.0,1995.0
Bmw,116i,I3,109.0,200.0,10.9,28000.0,Petrol,5.0,200.0,1499.0
Bmw,118D,I4,150.0,216.0,8.4,34000.0,Diesel,5.0,380.0,1995.0
Bmw,120i,I4,178.0,230.0,7.1,37000.0,Petrol,5.0,300.0,1998.0
Bmw,125i,I4,224.0,240.0,6.1,42000.0,Petrol,5.0,400.0,1998.0
Bmw,114i,I4,102.0,195.0,11.2,26000.0,Petrol,5.0,200.0,1598.0
Bmw,125D,I4,224.0,240.0,6.3,44000.0,Diesel,5.0,400.0,1995.0
Bmw,118i XDRIVE,I3,136.0,211.0,8.9,34000.0,Petrol,5.0,250.0,1499.0
Bmw,116D EFFICIENTDYNAMICS,I3,116.0,200.0,10.9,30000.0,Diesel,5.0,270.0,1496.0
Bmw,118i SPORTLINE,I3,136.0,213.0,8.5,35000.0,Petrol,5.0,250.0,1499.0
Bmw,118i M SPORT,I3,136.0,213.0,8.5,37000.0,Petrol,5.0,250.0,1499.0
Bmw,120i M SPORT,I4,178.0,230.0,7.1,39000.0,Petrol,5.0,300.0,1998.0
Bmw,116i EFFICIENTDYNAMICS,I4,109.0,195.0,10.9,29000.0,Petrol,5.0,200.0,1598.0
Bmw,116D ADVANTAGE,I3,116.0,200.0,10.5,31000.0,Diesel,5.0,270.0,1496.0
Bmw,120D EFFICIENTDYNAMICS,I4,163.0,225.0,7.7,39000.0,Diesel,5.0,400.0,1995.0
Bmw,118i SHADOW LINE,I3,136.0,213.0,8.5,36000.0,Petrol,5.0,250.0,1499.0
Bmw,118D SPORT LINE,I4,150.0,216.0,8.4,36000.0,Diesel,5.0,380.0,1995.0
Bmw,120i XDRIVE,I4,178.0,230.0,7.2,40000.0,Petrol,5.0,300.0,1998.0
Bmw,118i URBAN LINE,I3,136.0,213.0,8.5,35000.0,Petrol,5.0,250.0,1499.0
Volvo,XC90,I6,247.0,200.0,6.5,60000.0,"Diesel, Petrol",7.0,400.0,1969.0
Volvo,XC60,I6,247.0,220.0,6.4,55000.0,"Diesel, Petrol",5.0,400.0,1969.0
Volvo,S90,I6,295.0,250.0,5.9,60000.0,"Diesel, Petrol",5.0,400.0,1969.0
Kia,SPORTAGE LX,I4,187.0,200.0,8.0,27000.0,Petrol,5.0,250.0,2480.0
Kia,SPORTAGE EX,I4,187.0,200.0,8.0,30000.0,Petrol,5.0,250.0,2480.0
Kia,SPORTAGE GT-LINE,I4,187.0,200.0,8.0,32000.0,Petrol,5.0,350.0,2480.0
Kia,SPORTAGE SX TURBO,I4,240.0,210.0,6.7,36000.0,Petrol,5.0,400.0,1998.0
Kia,SPORTAGE NIGHTFALL EDITION,I4,187.0,200.0,8.0,33000.0,Petrol,5.0,350.0,2480.0
Honda,CIVIC TYPE R,I4,315.0,272.0,5.7,44000.0,Petrol,5.0,400.0,1996.0
Kia,SPORTAGE PHEV,I4 + ELECTRIC,261.0,180.0,8.0,41000.0,Hybrid,5.0,350.0,1600.0
Kia,SPORTAGE 2024(BASE MODEL),I4,187.0,200.0,8.0,26000.0,Petrol,5.0,250.0,2480.0
Kia,SPORTAGE 2024(TOP TRIM),I4,240.0,210.0,6.7,38000.0,Petrol,5.0,400.0,1998.0
Kia,SPORTAGE X-LINE,I4,187.0,200.0,8.0,32500.0,Petrol,5.0,350.0,2480.0
Kia,SPORTAGE 2024(S TRIM),I4,187.0,200.0,8.2,28000.0,Petrol,5.0,250.0,2480.0
Honda,ACCORD,I4,192.0,201.0,7.1,29400.0,Petrol,5.0,370.0,1498.0
Kia,SPORTAGE 2024(HYBRID AWD),I4 + ELECTRIC,227.0,180.0,8.0,37000.0,Hybrid,5.0,350.0,1600.0
Kia,SPORTAGE 2024(PLUG-IN HYBRID AWD),I4 + ELECTRIC,261.0,180.0,7.9,42000.0,Hybrid,5.0,350.0,1598.0
Kia,SPORTAGE 2024(X-PRO),I4,187.0,200.0,8.1,36000.0,Petrol,5.0,400.0,2480.0
Kia,SPORTAGE 2024(X-PRO PRESTIGE),I4,187.0,200.0,8.1,38000.0,Petrol,5.0,400.0,2480.0
Kia,SPORTAGE 2024(BASE FWD),I4,187.0,200.0,8.5,26500.0,Petrol,5.0,250.0,2480.0
Honda,CR-V,I4,190.0,186.0,8.2,30000.0,"Hybrid, Petrol",5.0,400.0,1498.0
Honda,CIVIC HATCHBACK,I4,180.0,220.0,6.8,26350.0,Petrol,5.0,300.0,1498.0
Toyota,CAMRY,V6,301.0,220.0,6.0,27000.0,"Hybrid, Petrol",5.0,250.0,3500.0
Toyota,COROLLA,I4,139.0,180.0,9.4,22500.0,"Hybrid, Petrol",5.0,200.0,1798.0
Toyota,PRIUS,I4,121.0,180.0,10.5,26700.0,Hybrid,5.0,142.0,1798.0
Toyota,RAV4,I4,203.0,200.0,8.1,27100.0,"Hybrid, Petrol",5.0,400.0,2494.0
Toyota,HIGHLANDER,V6,295.0,220.0,7.2,38400.0,"Hybrid, Petrol",7.0,370.0,3456.0
Toyota,4RUNNER ,V6,270.0,200.0,7.5,37400.0,Petrol,5.0,400.0,3956.0
Toyota,TACOMA,I4,159.0,180.0,9.5,26400.0,Petrol,5.0,400.0,2694.0
Toyota,TUNDRA,V8,381.0,220.0,6.7,39900.0,Petrol,5.0,650.0,5663.0
Toyota,AVALON,V6,301.0,220.0,6.9,41400.0,Petrol,5.0,400.0,3456.0
Toyota,MIRAI,I4,151.0,180.0,9.2,52400.0,Hydrogen,5.0,335.0,1798.0
Toyota,SIENNA,V6,245.0,190.0,8.0,44150.0,"Hybrid, Petrol",7.0,360.0,2494.0
Toyota,VENZA,I4,219.0,200.0,7.5,33400.0,Hybrid,5.0,400.0,2494.0
Toyota,HIGHLANDER HYBRID,V6,240.0,220.0,8.2,40400.0,Hybrid,7.0,350.0,3456.0
Toyota,LAND CRUISER PRADO,V6,282.0,200.0,7.2,49400.0,"Diesel, Petrol",7.0,450.0,3956.0
Toyota,TUNDRA HYBRID,V6,344.0,220.0,6.2,43400.0,Hybrid,5.0,650.0,3456.0
Toyota,YARIS,I4,106.0,180.0,11.2,18400.0,Petrol,5.0,150.0,1496.0
Toyota,C-HR,I4,144.0,200.0,10.2,24400.0,"Hybrid, Petrol",5.0,250.0,1986.0
Toyota,CROWN,HYBRID,236.0,200.0,7.6,38400.0,Hybrid,5.0,400.0,2494.0
Toyota,MR2,I4,168.0,200.0,6.9,29000.0,Petrol,2.0,400.0,1986.0
Toyota,CELICA,I4,140.0,200.0,8.5,25000.0,Petrol,5.0,250.0,1986.0
Honda,CITY,I4,119.0,180.0,10.2,15400.0,"Hybrid, Petrol",5.0,145.0,1497.0
Honda,CIVIC,I4,158.0,200.0,8.5,20400.0,Petrol,5.0,400.0,1996.0
Hyundai,I20,"1.4L,4-CYLINDER,INLINE-4(I4)",99.0,180.0,10.5,15400.0,"Hybrid, Petrol",5.0,250.0,1396.0
Hyundai,ELANTRA,"2.0L,4-CYLINDER,INLINE-4(I4)",147.0,200.0,9.5,18400.0,"Hybrid, Petrol",5.0,250.0,1999.0
Mahindra,XUV500,"2.2L,4-CYLINDER,INLINE-4(I4)",155.0,180.0,10.5,18400.0,Diesel,7.0,400.0,2179.0
Mahindra,SCORPIO,"2.2L,4-CYLINDER,INLINE-4(I4)",140.0,160.0,11.2,16400.0,Diesel,7.0,280.0,2179.0
Mahindra,THAR,"2.0L,4-CYLINDER,INLINE-4(I4)",150.0,180.0,10.5,20400.0,"Diesel, Petrol",4.0,320.0,1997.0
Maruti Suzuki,BREZZA,"1.5L,4-CYLINDER,INLINE(I4)",103.0,180.0,11.5,14400.0,Petrol,5.0,200.0,1462.0
Toyota,PRIUS PRIME,"2.0L,4-CYLINDER,WITH HYBRID SYSTEM",220.0,180.0,6.7,31100.0,Hybrid,5.0,220.0,1998.0
Toyota,GR COROLLA,"1.6L,TURBOCHARGED INLINE-3",300.0,230.0,2.5,36995.0,Petrol,5.0,370.0,1618.0
Toyota,LAND CRUISER 300,"3.3L,V6,TWIN TURBO DIESEL",305.0,210.0,6.8,58500.0,"Diesel, Petrol",7.0,650.0,3346.0
Toyota,COROLLA HATCHBACK XSE,"2.0L,INLINE-4",169.0,190.0,8.2,25390.0,Petrol,5.0,250.0,1987.0
Toyota,HILUX GR SPORT,"2.8L,TURBO,DIESEL",224.0,170.0,10.0,50000.0,"Diesel, Petrol",5.0,500.0,2755.0
Toyota,ALPHARD EXECUTIVE LOUNGE,"2.5L,INLINE-4,HYBRID,OR 3.5L,V6",296.0,180.0,8.5,60000.0,Petrol,7.0,400.0,2975.0
Toyota,FORTUNER GR SPORT,"2.8L,TURBO,DIESEL",204.0,175.0,10.5,55000.0,"Diesel, Petrol",7.0,500.0,2755.0
Toyota,INNOVA HYCROSS,2.0L HYBRID,184.0,165.0,9.5,40000.0,Hybrid,7.0,250.0,1987.0
Toyota,URBAN CRUISER TAISOR,"1.5L,HYBRID",114.0,170.0,11.0,25000.0,Petrol,5.0,130.0,1490.0
Toyota,HILUX REVO ROCCO,"2.8L,TURBO,DIESEL",204.0,175.0,10.0,50000.0,Diesel,5.0,500.0,2755.0
Toyota,CENTURY SUV,"3.5L,V6,PLUG IN HYBRID",406.0,200.0,6.0,170000.0,Petrol,5.0,500.0,3456.0
Toyota,COROLLA SEDAN HYBRID,"1.8L,HYBRID",134.0,180.0,10.0,24000.0,Hybrid,5.0,300.0,1798.0
Toyota,GR YARIS,"1.6L,TURBOCHARGED INLINE-3",268.0,230.0,5.5,45000.0,Petrol,4.0,390.0,1618.0
Hyundai,SANTA FE,1.6L PETROL + PLUG IN HYBRID SYSTEM,253.0,180.0,9.3,50000.0,"Hybrid, Petrol",7.0,420.0,1600.0
Hyundai,Santa Cruz,2.5L Turbocharged Inline-4,281.0,215.0,6.5,40799.0,Petrol,5.0,400.0,2500.0
Hyundai,Kona,1.6L PETROL ,147.0,185.0,7.5,20500.0,"Ev, Petrol",5.0,400.0,1591.0
Hyundai,Elantra,2.0L Inline-4,147.0,210.0,8.3,19950.0,"Hybrid, Petrol",5.0,250.0,2000.0
Hyundai,Tucson,2.5L Inline-4,187.0,180.0,6.1,30500.0,"Hybrid, Petrol",5.0,400.0,2500.0
Hyundai,Palisade,3.8L V6,291.0,240.0,6.3,52000.0,Petrol,7.0,355.0,3800.0
Hyundai,Sonata,2.5L Inline-4,191.0,240.0,8.0,25000.0,"Hybrid, Petrol",5.0,250.0,2500.0
Hyundai,Accent,1.6L Inline-4,120.0,180.0,9.8,15000.0,Petrol,5.0,151.0,1600.0
Hyundai,Venue,1.6L Inline-4,121.0,180.0,9.5,18000.0,Petrol,5.0,240.0,1600.0
Hyundai,Veloster,2.0L Inline-4,275.0,220.0,6.0,25000.0,Petrol,4.0,264.0,2000.0
Hyundai,Genesis,3.8L V6,291.0,240.0,6.3,52000.0,Petrol,5.0,400.0,3800.0
Hyundai,Azera,3.3L V6,278.0,240.0,6.5,55000.0,Petrol,5.0,250.0,3300.0
Hyundai,Equus,3.3L V6,278.0,240.0,6.5,55000.0,Petrol,5.0,400.0,3300.0
Hyundai,Tiburon,2.0L Inline-4,160.0,200.0,8.2,19000.0,Petrol,4.0,320.0,2000.0
Hyundai,Elantra GT,1.6L Turbo GDI 4-cylinder,160.0,200.0,8.3,22000.0,Petrol,5.0,320.0,2000.0
Volkswagen,Golf,1.5L Turbo I4 / Electric,215.0,210.0,8.5,23000.0,Petrol,5.0,250.0,1498.0
Volkswagen,Passat,2.0L Turbo I4,215.0,210.0,7.8,25000.0,Petrol,5.0,250.0,1984.0
Volkswagen,Tiguan,2.0L Turbo I4,190.0,209.0,8.5,28505.0,"Hybrid, Petrol",7.0,300.0,1984.0
Volkswagen,Jetta,1.5L Turbo I4,189.0,210.0,7.7,21995.0,Petrol,5.0,250.0,1498.0
Volkswagen,Polo,1.0L Turbo I3 / 1.6L Diesel,140.0,190.0,9.5,18000.0,Petrol,5.0,175.0,1298.0
